"","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7","Sample_8","Sample_9","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20"
"OTU_97.27653",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27658",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_97.27674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"OTU_97.27675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27685",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_97.27688",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27699",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2770",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27710",0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,1,2,3,0
"OTU_97.27711",0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1
"OTU_97.27715",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"OTU_97.27731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27743",0,0,0,4,7,5,3,0,2,2,0,0,1,3,0,0,0,3,1,0
"OTU_97.27755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27756",51,26,0,0,2,0,0,6,25,3,0,0,7,4,0,0,3,0,0,0
"OTU_97.27759",17,3,5,6,13,13,0,10,0,0,0,0,27,4,0,0,5,47,1,0
"OTU_97.27761",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
"OTU_97.27766",0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1
"OTU_97.27767",0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0
"OTU_97.27769",0,0,0,0,0,3,21,0,50,0,3,3,1,0,0,6,0,2,0,7
"OTU_97.2777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27771",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27776",0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.27782",4,3,0,0,0,0,0,1,9,0,0,0,0,0,3,0,0,2,0,0
"OTU_97.27783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_97.27801",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.27804",18,72,4,0,11,20,37,62,0,0,76,0,47,2,36,20,13,2,9,3
"OTU_97.27813",0,0,0,0,0,0,1,9,4,2,3,0,1,0,11,0,0,11,0,0
"OTU_97.27818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27819",0,0,0,1,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_97.27822",0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,2,7,0,0
"OTU_97.27825",0,1,1,7,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0
"OTU_97.27829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27830",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_97.27831",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27849",0,0,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,2,2
"OTU_97.27862",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_97.27863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27865",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27878",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.27882",3,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,4
"OTU_97.27883",2,24,3,0,0,3,7,61,0,0,3,0,1,0,7,0,0,44,1,0
"OTU_97.27885",0,0,0,0,0,0,0,5,7,0,4,4,0,0,0,0,7,0,0,1
"OTU_97.27887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2789",0,0,0,0,3,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0
"OTU_97.27890",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27897",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27907",0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,8,0,1
"OTU_97.2791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_97.27925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27930",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"OTU_97.27931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27940",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"OTU_97.27943",0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0
"OTU_97.27959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27962",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"OTU_97.27983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27990",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"OTU_97.27991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.27994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28017",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28019",0,0,1,1,1,0,0,0,2,3,21,0,0,2,0,0,4,0,1,5
"OTU_97.28020",0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0
"OTU_97.28022",0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"OTU_97.28024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28027",0,0,2,1,0,0,4,0,0,0,0,0,1,3,4,0,16,3,0,3
"OTU_97.28028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28035",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_97.28040",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_97.28041",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0
"OTU_97.28044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28045",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
"OTU_97.28057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2806",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,2,0
"OTU_97.28072",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_97.28073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28077",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
"OTU_97.28079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_97.28094",1,1,0,8,5,0,0,0,0,0,0,5,0,4,4,11,5,0,0,0
"OTU_97.28096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.281",0,0,0,115,0,16,1,0,0,0,3,57,21,29,0,8,62,0,14,12
"OTU_97.28106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28111",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28122",0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.28136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28138",0,2,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_97.2814",0,0,0,10,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_97.28146",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1
"OTU_97.28147",0,0,0,2,0,0,0,0,1,0,0,2,0,0,1,0,4,2,3,3
"OTU_97.28166",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_97.2818",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28186",1,2,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,2,0,1
"OTU_97.28191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28192",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.28208",0,0,0,0,0,1,0,3,0,0,1,0,9,0,0,0,0,0,0,0
"OTU_97.28209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2822",3,0,2,1,1,0,1,0,1,2,0,0,0,6,1,0,0,1,0,0
"OTU_97.28226",8,0,0,1,0,3,0,0,0,2,1,0,0,2,0,0,0,0,0,0
"OTU_97.28228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28234",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"OTU_97.28238",1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
"OTU_97.28244",0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.28257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_97.28262",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28269",0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,1
"OTU_97.28270",4,10,0,9,0,1,0,0,4,0,2,2,8,1,2,4,0,0,0,8
"OTU_97.28271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28278",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"OTU_97.28280",0,3,7,18,4,0,0,135,28,4,12,5,81,75,11,10,0,1,26,0
"OTU_97.28281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28283",2,10,0,0,2,1,0,41,3,0,51,0,1,1,0,3,0,0,2,0
"OTU_97.28285",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_97.28291",0,1,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0
"OTU_97.28292",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"OTU_97.28293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28319",4,1,0,1,0,0,0,1,0,2,0,0,0,3,1,0,0,1,0,0
"OTU_97.28322",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"OTU_97.28327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2834",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2835",0,0,1,0,0,1,0,1,0,0,4,3,0,0,0,0,0,0,0,0
"OTU_97.28357",2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28366",0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0
"OTU_97.28370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28383",11,0,1,15,0,20,4,0,1,14,0,3,0,2,27,0,1,1,0,0
"OTU_97.28385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_97.28386",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28389",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_97.28393",0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0
"OTU_97.28399",38,7,1,4,0,5,32,0,12,0,50,15,13,3,8,37,0,709,58,0
"OTU_97.2840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28412",0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0
"OTU_97.28415",0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
"OTU_97.28419",0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"OTU_97.2842",0,1,0,0,1,1,0,1,0,0,0,0,1,13,1,1,0,0,0,0
"OTU_97.28424",25,0,9,0,0,30,32,0,1,10,59,0,8,0,0,0,0,129,25,2
"OTU_97.28426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0
"OTU_97.2843",0,0,0,5,1,0,1,0,0,0,1,0,0,0,0,2,8,0,0,3
"OTU_97.28440",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_97.28441",14,0,7,1,0,1,4,0,17,0,1,5,0,0,0,0,0,0,0,0
"OTU_97.28442",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"OTU_97.28447",0,0,0,0,7,0,1,9,3,0,5,0,0,0,0,0,2,0,0,2
"OTU_97.28449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2845",5,0,0,2,0,0,0,0,6,0,0,2,0,0,0,0,0,9,0,0
"OTU_97.28452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28453",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28464",0,0,3,0,0,0,0,8,1,0,0,3,0,0,2,0,0,0,0,0
"OTU_97.28466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28468",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2847",4,0,5,7,1,6,0,0,9,0,2,0,1,9,0,0,9,4,2,9
"OTU_97.28471",0,0,0,0,0,0,0,7,1,0,3,0,0,0,0,0,0,1,0,0
"OTU_97.28476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28479",4,35,0,0,0,2,22,0,4,64,0,0,49,20,38,1,0,5,0,3
"OTU_97.28484",0,0,0,6,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0
"OTU_97.28487",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_97.2849",15,1,3,5,11,0,0,1,2,0,1,2,11,2,6,18,0,0,3,0
"OTU_97.28492",0,2,0,0,0,1,0,0,2,1,2,3,38,0,1,0,0,0,0,0
"OTU_97.28493",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"OTU_97.28507",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"OTU_97.28511",0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,2,0,0
"OTU_97.28512",0,0,0,53,13,0,12,15,0,0,0,0,5,0,0,9,8,147,0,3
"OTU_97.28521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28526",1,1,19,0,1,0,5,14,8,0,3,0,0,0,0,3,0,3,2,0
"OTU_97.28528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28548",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
"OTU_97.28551",0,0,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1
"OTU_97.28561",0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28563",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1
"OTU_97.28564",20,3,2,1,0,0,2,0,16,0,1,0,33,1,3,1,0,0,1,38
"OTU_97.2857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28578",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28579",0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_97.28581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2859",1,12,5,0,0,0,0,0,0,3,7,4,0,0,0,5,7,2,7,0
"OTU_97.28590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.286",11,14,1,31,48,15,0,0,0,9,0,0,85,39,2,2,14,44,3,7
"OTU_97.28607",0,1,1,7,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0
"OTU_97.28616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2862",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28621",0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0
"OTU_97.28623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28642",0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0
"OTU_97.28645",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"OTU_97.28651",0,0,0,0,1,0,0,4,0,0,1,0,0,0,1,0,0,1,0,0
"OTU_97.28662",1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_97.28673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28678",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"OTU_97.28687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28689",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_97.28696",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.287",0,16,6,0,96,1,11,25,3,0,49,139,0,2,13,35,9,31,0,0
"OTU_97.2870",0,2,1,0,1,0,0,2,0,0,0,3,0,0,0,0,0,10,0,0
"OTU_97.28705",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28710",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_97.28722",1,0,3,1,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0
"OTU_97.28726",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"OTU_97.2873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28730",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
"OTU_97.28734",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28736",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28738",2,1,1,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,6
"OTU_97.28739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_97.2874",0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_97.28740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28744",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_97.28745",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_97.28748",0,0,3,0,0,21,1,0,1,0,1,7,0,0,0,1,21,0,0,5
"OTU_97.28749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28765",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.28767",0,0,2,0,2,9,1,1,4,1,6,0,0,1,0,2,1,0,0,0
"OTU_97.28768",0,0,0,0,2,2,1,0,2,0,14,2,0,0,6,1,1,0,0,0
"OTU_97.28769",0,0,0,0,0,0,0,0,5,0,3,0,4,0,0,0,0,0,0,0
"OTU_97.2877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28770",0,0,2,0,0,1,0,0,4,2,0,3,0,0,0,1,0,0,2,0
"OTU_97.28774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28775",1,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.28779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28782",0,1,0,1,0,0,1,0,3,0,0,6,0,0,5,0,0,0,0,0
"OTU_97.28783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28785",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28791",0,0,0,0,3,0,2,1,0,0,4,0,0,0,3,8,29,3,0,1
"OTU_97.28792",131,0,49,0,0,0,12,90,1,0,2,0,46,52,1,1,28,2,0,6
"OTU_97.288",23,5,0,0,5,0,35,0,6,175,0,6,1,5,1,0,38,0,0,1
"OTU_97.28801",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_97.28806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.28808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2881",3,22,4,54,0,0,0,2,2,0,57,0,0,1,1,19,0,0,11,1
"OTU_97.28811",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,2
"OTU_97.28817",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.2882",1,3,1,27,0,0,0,2,0,32,0,1,5,0,0,0,0,6,0,4
"OTU_97.28824",0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0
